employee_id,first_name,last_name,email,phone_number,hire_date,job_id,salary,commission_pct,manager_id,department_id
100,Steven,King,SKING,515.123.4567,1987-06-17,AD_PRES,24000,NULL,NULL,90
101,Neena,Kochhar,NKOCHHAR,515.123.4568,1989-09-21,AD_VP,17000,NULL,100,90
102,Lex,"De Haan",LDEHAAN,515.123.4569,1993-01-13,AD_VP,17000,NULL,100,90
103,Alexander,Hunold,AHUNOLD,590.423.4567,1990-01-03,IT_PROG,9000,NULL,102,60
104,Bruce,Ernst,BERNST,590.423.4568,1991-05-21,IT_PROG,6000,NULL,103,60
108,Nancy,Greenberg,NGREENBE,515.124.4569,1994-08-17,FI_MGR,12000,NULL,101,100
109,Daniel,Faviet,DFAVIET,515.124.4169,1994-08-16,FI_ACCOUNT,9000,NULL,108,100
110,John,Chen,JCHEN,515.124.4269,1997-09-28,FI_ACCOUNT,8200,NULL,108,100
111,Ismael,Sciarra,ISCIARRA,515.124.4369,1997-09-30,FI_ACCOUNT,7700,NULL,108,100
112,"Jose Manuel",Urman,JMURMAN,515.124.4469,1998-03-07,FI_ACCOUNT,7800,NULL,108,100
113,Luis,Popp,LPOPP,515.124.4567,1999-12-07,FI_ACCOUNT,6900,NULL,108,100
114,Den,Raphaely,DRAPHEAL,515.127.4561,1994-12-07,PU_MAN,11000,NULL,100,30
120,Matthew,Weiss,MWEISS,650.123.1234,1996-07-18,ST_MAN,8000,NULL,100,50
121,Adam,Fripp,AFRIPP,650.123.2234,1997-04-10,ST_MAN,8200,NULL,100,50
122,Payam,Kaufling,PKAUFLIN,650.123.3234,1995-05-01,ST_MAN,7900,NULL,100,50
123,Shanta,Vollman,SVOLLMAN,650.123.4234,1997-10-10,ST_MAN,6500,NULL,100,50
124,Kevin,Mourgos,KMOURGOS,650.123.5234,1999-11-16,ST_MAN,5800,NULL,100,50
145,John,Russell,JRUSSEL,011.44.1344.429268,1996-10-01,SA_MAN,14000,0.4,100,80
146,Karen,Partners,KPARTNER,011.44.1344.467268,1997-01-05,SA_MAN,13500,0.3,100,80
147,Alberto,Errazuriz,AERRAZUR,011.44.1344.429278,1997-03-10,SA_MAN,12000,0.3,100,80
148,Gerald,Cambrault,GCAMBRAU,011.44.1344.619268,1999-10-15,SA_MAN,11000,0.3,100,80
149,Eleni,Zlotkey,EZLOTKEY,011.44.1344.429018,2000-01-29,SA_MAN,10500,0.2,100,80
150,Peter,Tucker,PTUCKER,011.44.1344.129268,1997-01-30,SA_REP,10000,0.3,145,80
151,David,Bernstein,DBERNSTE,011.44.1344.345268,1997-03-24,SA_REP,9500,0.25,145,80
152,Peter,Hall,PHALL,011.44.1344.478968,1997-08-20,SA_REP,9000,0.25,145,80
